,위도,경도
서울,37.566535,126.9779692
부산,35.1795543,129.0756416
대구,35.8714354,128.601445
인천,37.4562557,126.7052062
광주,35.1595454,126.8526012
대전,36.3504119,127.3845475
울산,35.5383773,129.3113596
세종,36.4802462,127.2892335
경기,37.4138,127.5183
강원,37.8228,128.1555
충북,36.8,127.7
충남,36.5184,126.8
전북,35.7175,127.153
전남,34.8679,126.991
경북,36.4919,128.8889
경남,35.4606,128.2132
제주,33.4996213,126.5311884
